Gender,Age,Country
Male,45-49,Argentina
Female,25-29,Argentina
Male,45-49,Argentina
Male,25-29,Argentina
Male,25-29,Argentina
Male,40-44,Argentina
Male,22-24,Argentina
Male,45-49,Argentina
Male,22-24,Argentina
Male,25-29,Argentina
Male,18-21,Argentina
Male,50-54,Argentina
Male,30-34,Argentina
Female,45-49,Argentina
Male,25-29,Argentina
Male,18-21,Argentina
Male,40-44,Argentina
Male,25-29,Argentina
Male,22-24,Argentina
Female,22-24,Argentina
Male,25-29,Argentina
Male,22-24,Argentina
Male,25-29,Argentina
Male,40-44,Argentina
Male,30-34,Argentina
Male,40-44,Argentina
Male,22-24,Argentina
Male,30-34,Argentina
Male,25-29,Argentina
Male,22-24,Argentina
Female,45-49,Argentina
Male,40-44,Argentina
Male,50-54,Argentina
Male,22-24,Argentina
Female,25-29,Argentina
Male,45-49,Argentina
Male,30-34,Argentina
Male,25-29,Argentina
Female,40-44,Argentina
Male,35-39,Argentina
Male,25-29,Argentina
Male,40-44,Argentina
Male,35-39,Argentina
Male,25-29,Argentina
Male,18-21,Argentina
Male,35-39,Argentina
Male,50-54,Argentina
Male,25-29,Argentina
Female,25-29,Argentina
Female,30-34,Argentina
Female,22-24,Argentina
Male,30-34,Argentina
Female,30-34,Argentina
Male,30-34,Argentina
Male,45-49,Argentina
Male,30-34,Argentina
Male,30-34,Argentina
Male,25-29,Argentina
Male,35-39,Argentina
Male,25-29,Argentina
Male,25-29,Argentina
Male,80+,Argentina
Male,35-39,Argentina
Female,30-34,Argentina
Male,25-29,Argentina
Male,35-39,Argentina
Male,30-34,Argentina
Prefer to self-describe,30-34,Argentina
Male,22-24,Argentina
Male,25-29,Argentina
Male,30-34,Argentina
Male,50-54,Argentina
Male,22-24,Argentina
Male,18-21,Argentina
Male,40-44,Argentina
Male,22-24,Argentina
Male,35-39,Argentina
Male,45-49,Argentina
Male,35-39,Argentina
Male,22-24,Argentina
Male,22-24,Argentina
Male,50-54,Argentina
Male,35-39,Argentina
Male,30-34,Argentina
Male,45-49,Argentina
Male,25-29,Argentina
Male,40-44,Argentina
Male,25-29,Argentina
Male,35-39,Argentina
Male,35-39,Argentina
Male,35-39,Argentina
Male,40-44,Argentina
Male,30-34,Argentina
Male,40-44,Argentina
Male,45-49,Argentina
Male,22-24,Argentina
Male,35-39,Argentina
Male,22-24,Argentina
Male,40-44,Argentina
Male,40-44,Argentina
Male,25-29,Argentina
Male,25-29,Argentina
Male,25-29,Argentina
Male,45-49,Argentina
Male,30-34,Argentina
Female,25-29,Argentina
Male,40-44,Argentina
Male,45-49,Argentina
Male,45-49,Argentina
Male,25-29,Argentina
Male,30-34,Argentina
Male,22-24,Argentina
Prefer not to say,40-44,Argentina
Male,30-34,Argentina
Male,35-39,Argentina
Male,30-34,Argentina
Male,30-34,Argentina
Male,30-34,Argentina
Prefer not to say,35-39,Argentina
Male,18-21,Australia
Male,30-34,Australia
Male,18-21,Australia
Male,50-54,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,45-49,Australia
Male,35-39,Australia
Male,22-24,Australia
Female,18-21,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,25-29,Australia
Female,30-34,Australia
Male,25-29,Australia
Male,35-39,Australia
Male,40-44,Australia
Male,25-29,Australia
Female,30-34,Australia
Male,25-29,Australia
Male,35-39,Australia
Female,30-34,Australia
Male,35-39,Australia
Male,18-21,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,45-49,Australia
Male,40-44,Australia
Male,22-24,Australia
Male,22-24,Australia
Male,35-39,Australia
Male,40-44,Australia
Male,55-59,Australia
Female,35-39,Australia
Male,45-49,Australia
Male,45-49,Australia
Male,22-24,Australia
Female,35-39,Australia
Male,25-29,Australia
Male,35-39,Australia
Male,30-34,Australia
Male,35-39,Australia
Male,22-24,Australia
Male,22-24,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,22-24,Australia
Male,25-29,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,22-24,Australia
Male,35-39,Australia
Male,25-29,Australia
Male,60-69,Australia
Male,40-44,Australia
Female,22-24,Australia
Male,25-29,Australia
Male,45-49,Australia
Male,25-29,Australia
Male,18-21,Australia
Male,22-24,Australia
Female,30-34,Australia
Male,30-34,Australia
Male,60-69,Australia
Male,22-24,Australia
Male,25-29,Australia
Male,25-29,Australia
Female,25-29,Australia
Male,60-69,Australia
Female,25-29,Australia
Female,25-29,Australia
Female,40-44,Australia
Male,25-29,Australia
Male,25-29,Australia
Female,45-49,Australia
Male,35-39,Australia
Male,35-39,Australia
Male,25-29,Australia
Female,25-29,Australia
Male,30-34,Australia
Male,45-49,Australia
Male,25-29,Australia
Male,45-49,Australia
Male,35-39,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,45-49,Australia
Male,30-34,Australia
Male,35-39,Australia
Male,40-44,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,40-44,Australia
Female,22-24,Australia
Male,40-44,Australia
Male,22-24,Australia
Male,35-39,Australia
Male,25-29,Australia
Female,22-24,Australia
Female,30-34,Australia
Male,22-24,Australia
Male,30-34,Australia
Male,50-54,Australia
Female,25-29,Australia
Male,40-44,Australia
Male,45-49,Australia
Male,25-29,Australia
Male,18-21,Australia
Male,50-54,Australia
Male,25-29,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,22-24,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,22-24,Australia
Male,40-44,Australia
Prefer to self-describe,30-34,Australia
Male,40-44,Australia
Male,60-69,Australia
Female,25-29,Australia
Male,60-69,Australia
Male,50-54,Australia
Male,45-49,Australia
Male,30-34,Australia
Male,60-69,Australia
Male,25-29,Australia
Female,35-39,Australia
Male,25-29,Australia
Male,25-29,Australia
Male,50-54,Australia
Male,50-54,Australia
Male,25-29,Australia
Prefer not to say,25-29,Australia
Prefer not to say,25-29,Australia
Female,18-21,Australia
Female,25-29,Australia
Male,22-24,Australia
Male,30-34,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,40-44,Australia
Female,50-54,Australia
Male,30-34,Australia
Male,25-29,Australia
Male,30-34,Australia
