Training-Mode,value
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,25.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,20.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,40.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,30.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,15.0
Kaggle Competitions,15.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,5.0
Kaggle Competitions,10.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,10.0
Kaggle Competitions,10.0
Kaggle Competitions,0.0
Kaggle Competitions,5.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,20.0
Kaggle Competitions,10.0
Kaggle Competitions,0.0
Kaggle Competitions,20.0
Kaggle Competitions,0.0
Kaggle Competitions,5.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,20.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,50.0
Kaggle Competitions,25.0
Kaggle Competitions,20.0
Kaggle Competitions,20.0
Kaggle Competitions,10.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,40.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,5.0
Kaggle Competitions,20.0
Kaggle Competitions,0.0
Kaggle Competitions,5.0
Kaggle Competitions,20.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,40.0
Kaggle Competitions,50.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,15.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,0.0
Kaggle Competitions,10.0
Kaggle Competitions,30.0
Kaggle Competitions,0.0
