Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Consultant,Other,0,,I do not know
Other,Manufacturing/Fabrication,5-10,"10-20,000",No (we do not use ML methods)
Data Scientist,I am a student,0-1,"0-10,000",I do not know
Not employed,,0,,
Data Analyst,I am a student,0-1,"0-10,000",I do not know
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,10-15,"10-20,000",No (we do not use ML methods)
Other,Other,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Software Engineer,Online Service/Internet-based Services,3-4,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Other,5-10,"125-150,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Assistant,Academics/Education,1-2,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Other,1-2,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Medical/Pharmaceutical,0-1,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Energy/Mining,1-2,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Other,Retail/Sales,2-3,"0-10,000",No (we do not use ML methods)
Other,Military/Security/Defense,5-10,"100-125,000",No (we do not use ML methods)
Data Scientist,Energy/Mining,5-10,"30-40,000",I do not know
Chief Officer,Computers/Technology,0-1,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0,,No (we do not use ML methods)
Manager,Insurance/Risk Assessment,2-3,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Computers/Technology,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Online Service/Internet-based Services,5-10,"70-80,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,Academics/Education,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Other,Other,2-3,"0-10,000",No (we do not use ML methods)
Data Analyst,Computers/Technology,2-3,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
