Data-Science-Activity,value
Cleaning data,15.0
Cleaning data,70.0
Cleaning data,50.0
Cleaning data,25.0
Cleaning data,10.0
Cleaning data,30.0
Cleaning data,20.0
Cleaning data,40.0
Cleaning data,10.0
Cleaning data,90.0
Cleaning data,25.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,15.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,0.0
Cleaning data,30.0
Cleaning data,30.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,15.0
Cleaning data,10.0
Cleaning data,15.0
Cleaning data,40.0
Cleaning data,50.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,40.0
Cleaning data,20.0
Cleaning data,25.0
Cleaning data,30.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,30.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,5.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,50.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,50.0
Cleaning data,0.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,5.0
Cleaning data,50.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,50.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,30.0
Cleaning data,25.0
Cleaning data,30.0
Cleaning data,25.0
Cleaning data,5.0
Cleaning data,20.0
Cleaning data,25.0
Cleaning data,50.0
Cleaning data,40.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,40.0
Cleaning data,10.0
Cleaning data,50.0
Cleaning data,55.0
Cleaning data,30.0
Cleaning data,25.0
Cleaning data,50.0
Cleaning data,50.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,5.0
Cleaning data,0.0
Cleaning data,0.0
Cleaning data,10.0
Cleaning data,25.0
Cleaning data,20.0
Cleaning data,38.0
Cleaning data,40.0
Cleaning data,30.0
Cleaning data,40.0
Cleaning data,10.0
Cleaning data,45.0
Cleaning data,25.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,15.0
Cleaning data,15.0
Cleaning data,10.0
Cleaning data,15.0
Cleaning data,25.0
Cleaning data,5.0
Cleaning data,30.0
Cleaning data,40.0
Cleaning data,50.0
Cleaning data,35.0
Cleaning data,20.0
Cleaning data,40.0
Cleaning data,0.0
Cleaning data,20.0
Cleaning data,0.0
Cleaning data,0.0
Cleaning data,15.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,0.0
Cleaning data,30.0
Cleaning data,50.0
Cleaning data,30.0
Cleaning data,15.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,25.0
Cleaning data,5.0
Cleaning data,15.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,25.0
Cleaning data,25.0
Cleaning data,50.0
Cleaning data,12.0
Cleaning data,15.0
Cleaning data,30.0
Cleaning data,40.0
Cleaning data,15.0
Cleaning data,15.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,50.0
Cleaning data,0.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,0.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,35.0
Cleaning data,10.0
Cleaning data,5.0
Cleaning data,0.0
Cleaning data,5.0
Cleaning data,40.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,50.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,50.0
Cleaning data,40.0
Cleaning data,20.0
Cleaning data,0.0
Cleaning data,50.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,15.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,16.0
Cleaning data,30.0
Cleaning data,30.0
Cleaning data,60.0
Cleaning data,20.0
Cleaning data,40.0
Cleaning data,5.0
Cleaning data,20.0
Cleaning data,41.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,25.0
Cleaning data,35.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,25.0
Cleaning data,40.0
Cleaning data,5.0
Cleaning data,20.0
Cleaning data,0.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,15.0
Cleaning data,10.0
Cleaning data,15.0
Cleaning data,10.0
Cleaning data,0.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,25.0
Cleaning data,50.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,25.0
Cleaning data,60.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,30.0
Cleaning data,5.0
Cleaning data,5.0
Cleaning data,20.0
Cleaning data,40.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,40.0
Cleaning data,30.0
Cleaning data,25.0
Cleaning data,35.0
Cleaning data,10.0
Cleaning data,25.0
Cleaning data,30.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,40.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,35.0
Cleaning data,20.0
Cleaning data,35.0
Cleaning data,40.0
Cleaning data,0.0
Cleaning data,20.0
Cleaning data,5.0
Cleaning data,20.0
Cleaning data,25.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,20.0
Cleaning data,10.0
Cleaning data,20.0
Cleaning data,10.0
