index,frequent_ml
4,Scikit-Learn
6,Keras
8,Keras
10,Scikit-Learn
11,Scikit-Learn
12,Scikit-Learn
13,Scikit-Learn
14,TensorFlow
15,Scikit-Learn
16,Scikit-Learn
17,Caret
18,Scikit-Learn
19,Scikit-Learn
20,Spark MLlib
23,Scikit-Learn
24,Caffe
25,Scikit-Learn
26,Scikit-Learn
27,Keras
30,Scikit-Learn
31,Keras
33,Scikit-Learn
34,Scikit-Learn
35,Scikit-Learn
36,Keras
37,TensorFlow
39,Caret
40,Keras
42,Scikit-Learn
43,TensorFlow
44,Scikit-Learn
45,Scikit-Learn
46,TensorFlow
48,Scikit-Learn
49,mlr
50,Scikit-Learn
51,mlr
52,Scikit-Learn
53,PyTorch
55,Scikit-Learn
56,TensorFlow
58,TensorFlow
59,Keras
60,Scikit-Learn
61,Scikit-Learn
62,Scikit-Learn
63,Scikit-Learn
65,Keras
66,Caret
68,randomForest
69,Scikit-Learn
70,Scikit-Learn
71,Scikit-Learn
72,Scikit-Learn
73,Keras
74,Caret
75,Scikit-Learn
76,H20
77,Keras
78,Keras
80,TensorFlow
81,Scikit-Learn
82,TensorFlow
83,Scikit-Learn
84,Caret
85,Keras
86,Scikit-Learn
89,Keras
90,Caret
92,Scikit-Learn
98,Keras
99,Scikit-Learn
100,Keras
102,Caret
104,Scikit-Learn
105,TensorFlow
106,TensorFlow
107,Scikit-Learn
108,TensorFlow
109,Keras
110,Scikit-Learn
111,Scikit-Learn
112,Keras
113,Caret
114,randomForest
117,Keras
118,Scikit-Learn
119,Scikit-Learn
121,Scikit-Learn
122,Spark MLlib
123,Scikit-Learn
124,TensorFlow
125,Scikit-Learn
127,TensorFlow
128,PyTorch
132,Keras
133,Caret
134,Scikit-Learn
135,Scikit-Learn
136,Scikit-Learn
137,Keras
138,TensorFlow
139,PyTorch
141,TensorFlow
142,Scikit-Learn
144,Scikit-Learn
145,Scikit-Learn
147,Scikit-Learn
150,TensorFlow
151,Scikit-Learn
153,randomForest
154,TensorFlow
156,TensorFlow
157,Keras
158,TensorFlow
162,PyTorch
163,Xgboost
164,Scikit-Learn
165,Scikit-Learn
166,Keras
167,PyTorch
168,Spark MLlib
169,Scikit-Learn
170,Scikit-Learn
172,PyTorch
173,TensorFlow
174,Scikit-Learn
175,TensorFlow
176,PyTorch
178,Scikit-Learn
179,PyTorch
180,Scikit-Learn
181,Scikit-Learn
182,Scikit-Learn
183,PyTorch
185,TensorFlow
186,Scikit-Learn
188,TensorFlow
190,Keras
191,Scikit-Learn
192,Scikit-Learn
194,TensorFlow
195,PyTorch
196,TensorFlow
197,Scikit-Learn
198,Xgboost
200,Keras
201,Scikit-Learn
202,Scikit-Learn
203,TensorFlow
204,Keras
207,Keras
210,Keras
211,TensorFlow
212,PyTorch
213,randomForest
215,lightgbm
216,TensorFlow
218,Caret
219,Scikit-Learn
220,TensorFlow
221,Keras
222,Caret
224,TensorFlow
225,lightgbm
226,Scikit-Learn
227,lightgbm
228,TensorFlow
230,Scikit-Learn
231,Caret
233,PyTorch
234,Scikit-Learn
236,TensorFlow
237,Keras
240,Caret
242,Keras
243,TensorFlow
244,Keras
246,Scikit-Learn
247,Keras
248,PyTorch
249,TensorFlow
250,TensorFlow
251,Scikit-Learn
252,TensorFlow
253,Scikit-Learn
254,Fastai
255,Scikit-Learn
256,Caffe
257,PyTorch
258,Keras
259,Scikit-Learn
260,Scikit-Learn
261,Scikit-Learn
263,Scikit-Learn
264,Xgboost
267,PyTorch
268,Scikit-Learn
269,Scikit-Learn
272,Scikit-Learn
274,Caret
275,TensorFlow
277,Scikit-Learn
278,Scikit-Learn
280,Scikit-Learn
281,Scikit-Learn
282,randomForest
284,Keras
286,Scikit-Learn
288,Caret
289,Scikit-Learn
290,TensorFlow
291,Scikit-Learn
292,Scikit-Learn
294,Scikit-Learn
295,Scikit-Learn
297,Scikit-Learn
298,Caret
300,Scikit-Learn
302,Keras
303,Scikit-Learn
305,TensorFlow
306,Scikit-Learn
307,TensorFlow
308,Keras
310,TensorFlow
311,Scikit-Learn
312,Scikit-Learn
314,Scikit-Learn
316,Caret
320,Caret
322,H20
323,Scikit-Learn
